title,content
 Services provided by Ministry of Health and Prevention,"1) Issue of Birth Certificate
 2) Issue of Death Certificate
 3) Approval of Medical Reports
 4) Attestation of Medical Leaves and Reports
 5) Health Professional Evaluation
 6) Accreditation of Medical Committee for Request for Retirement or Medical Disability
 7) Request ""To Whom it may Concern"" Certificate for Patient and Companion
 8) Submit Complaints about Private Health Facilities & Medical Staff
"
 Services provided by Emirates Health Services,"1) Examination of Medical Fitness for Residency Visa
 2) Issue of a Health Card
 3) Issue of a Health Card for people of determination
 4) Mobile Healthcare
 5) Pre-Employment Fitness Screening
 6) Premarital Counseling and Screening
 7) Pre-University Fitness Screening
 8) Renew of a Health Card
 9) Request for a Medical Report
 10) Book a Medical Appointment
 11) Submit Medical Complaints
"
 Services provided by Ministry of Education,"1) Apply for Scholarships
 2) Request for EmSAT test Registration
 3) Application for Registration in higher education institutions in the UAE and scholarships to study abroad for the current Grade 12 students
 4) Request for attestation of academic and professional university qualifications issued from within the country
 5) Inquiry on study program outside the UAE (IFADA)
 6) Equivalency of a General Education certificate within the UAE (Grade 12) Request
 7) University qualification equivalency request - higher education outside the UAE
"
 Services provided by Emirates Schools Establishment,"1) Application for registration and admission of a student to a public school
 2) Application for registration in home study
 3) Request for Issuance of a To Whom It May Concern Certificate - Student's Academic Sequence in Governmental School
 4) Request to modify data of a previous student
 5) Request to issue a study continuity certificate for a public school student
 6) Issuance and attestation of school certificate
 7) Request to issue a certificate of leaving studies in a public school
 8) Verifying certificate authenticity
 9) Student transfer request
 10) Suggestion
 11) Inquiry
 12) Comments
"
 Services provided by Ministry of Justice,"1) Apply for 'To Whom It May Concern' Certificate in Public Prosecution
 2) Registration of Order of Payment
 3) Registration of Cases Before Federal Courts of Appeal
 4) Registration of Cases Before Federal Courts of First Instance
 5) Registration of Disputes Before Alternative Litigation Systems
 6) Registration of Execution File
 7) Request Marriage Contract
"
 Services provided by Ministry of Energy and Infrastructure,"1) Request Value Estimate of Accident Damage
 2) Request of Individual Housing Initial Handover
 3) Housing assistance loan exemption Request
 4) Request for renewal / Re-issuance of navigation License for National / Foreign commercial ship
 5) Cancellation request for foreign pleasure boat license
 6) Request permission to sail out of the territorial waters for visiting foreign vessels
 7) Apply for Certificate of Competency (CoC)
 8) Request to issue registration license for a national and foreign pleasure boat
 9) Request for small boat driving license
 10) Apply for renew of Seafarer's license
 11) Request to issue To Whom It May Concern Certificate for Housing Services
 12) Renewal of a national transportation vehicle permit
 13) Cancelation/cross off a national transportation vehicle permit
 14) Issuing a national transportation vehicle permit
 15) Housing Assistance Request
 16) Request to update housing assistance data
 17) Apply for Seafare's license
 18) Reconsideration For Housing Assistance Decision Request
 19) Cancelation of Seafarer's license
 20) Request to renew the permanent operating license for national establishments - Branch
 21) Postponing Or Reducing Housing Assistance Instalment Request
"
 Services provided by Ministry of Economy,"1) Request A Certificate Of Origin
 2) Resolve Consumers Complaints
 3) Register Trademark
 4) Renew Registration of Trademark
 5) Renew Registration of Commercial Agency
"
 Services provided by Ministry of Climate Change and Environment,"1) Request Agricultural Guidance
 2) Request Support Materials for Farmers
 3) Request Support Materials for Fishermen
"
 Services provided by Telecommunication and Digital Government Regulatory Authority,"1) Submit Complaint about Telecom Providers
"
 Services provided by Zakat Fund,"1) Fatwa Request and Zakat calculation Service
 2) Zakat Payment
 3) Requst Senior benefactors Service
 4) Request Relief Service
 5) Follow up Zakat Request Service (Folow Up,To Whom it may Concern Certificate)
 6) Request Zakat (New / Renew / Urgent / Mutaeafifin)
"
 Services provided by Etihad Water and Electricity,"1) Service Activation
 2) Electricity Water Emergency Service
 3) Land Clearance Certificate Electricity
 4) Land Clearance Certificate Water
 5) Electricity Technical Drawings Approval
 6) Water Technical Drawings Approval
 7) Pay Water & Electricity Bills
 8) Application for Clearance Certificate
 9) Request NOC (Electricity)
"
 Services provided by Emirates Post Group,"1) Renew P.O.Box
 2) Rent P.O.BOX - Corporate
 3) Rent P.O.BOX - Individual
 4) Send Shipment
 5) Issue Courier License
 6) Track a Shipment
"
 Services provided by Ministry of Finance,"1) Inquiries about the Ministry's services
"
 Services provided by Central Bank of the UAE,"1) Submit a complaint against licensed financial institution
 2) Inquire about insurance complaints and disputes
 3) Submit insurance related complaint
 4) Escalation of the complaint to the Insurance Disputes Committee
 5) Submit inquiry in the financial field
"
 Services provided by Securities and Commodities Authority,"1) Provide Resolutions of Complaints in Securities Trading
 2) Settle Securities Trading Disputes
 3) Financial activity licenses
 4) Foreign investment fund registration
"
 Services provided by Ministry of Culture and Youth,"1) Register Sites Archaeological & Artefacts
 2) Regulate Entry of Media Materials through state Ports
 3) Register Borrowed Cultural Objects
 4) Issue International Standard Book Number (ISBN)
 5) Publications Printing
 6) Library Membership
 7) Rent MCKD Theatres, Halls & Areas
 8) Borrowing Library Items
 9) Extended Borrowing Library Items
"
 Services provided by Ministry of Industry and Advanced Technology,"1) Issue Certificate of Conformity (ECAS)
 2) Notification of Conformity Assessment Bodies
"
 Services provided by Federal Authority for Government Human Resources,"1) Organizational Structures Review and Approval Request
 2) Job Descriptions Review
 3) Awareness and Training
 4) Preferred Partners Training ”Maaref”
 5) Sharing Knowledge of HR
 6) Government Skills Bank
 7) Legal Advice
 8) Supporting customers in using Bayanati Systems
"
Related eServices,"
1) The e-Zawaj System - Ministry of Justice 
2) Apply for marriage through the eZawaj system – Ministry of Justice 
3) Request and document the marriage contract - Ministry of Justice 
4) Apply for a civil marriage contract in Abu Dhabi -  Abu Dhabi Judicial Department (ADJD) 
5) Register an online application for Islamic or civil  marriage contract in Dubai – Dubai Courts 
6) Request for marriage grant - Ministry of Community Development 
7) Request to participate in a mass wedding - Ministry of Community Development 
8) Register in the Edaad program to get knowledge and skills to build a safe and stable family - Ministry of Community Development. 
"
Visa-free entry,Citizens of GCC countries do not require a visa or permit or to be sponsored by a national or resident in the UAE. They need to produce their GCC country passport or national ID card at the point of entry into the UAE.
Visa on arrival,"30-day visa on arrival Citizens of these countries do not require advance visa arrangements to enter the UAE and can obtain a visa upon arrival for 30 days with a 10-day grace period for extension. 90-day visa on arrival Citizens of these countries do not require advance visa arrangements to enter the UAE and can obtain a visa upon arrival for 90 days: Indian citizens Indian citizens holding a normal passport and either 
1) a visit visa issued by the USA or 
2) a green card issued by the USA or 
3) a residence visa issued by the UK or 
4) a residence visa issued by the EU 
 can obtain a visa on arrival for a maximum stay of 14 days provided that the visas or the green card is valid for at least six months from the date of arrival into the UAE. Read about the UAE visa requirements for non-US citizens . Note: Passports must be valid for at least 6 months from the date of entry into the UAE. Lists of countries eligible for visa on arrival may vary from time to time; therefore, please check with the UAE embassy in your country before travelling to the UAE. Related links Visa on arrival - General Directorate of Residency and Foreigners Affairs Dubai For more information, please contact: 
1) The UAE Federal Authority for Identity and Citizenship, Customs and Port Security 
2) General Directorate of Residency and Foreigners Affairs – Dubai 
"
Online channels,"These are the online channels for applying for entry permits: 
1) the eChannels portal 
2) the website of GDRFA - Dubai 
3) ICP App on Google Play and App Store 
4) Dubai Now on Google Play and App Store . 
 For more information, please contact: 
1) Federal Authority for Identity, Citizenship, Customs & Ports Security 
2) General Directorate of Residency and Foreigners Affairs – Dubai. 
"
Services centres,"Offline visa application can be done through typing centres registered by ICP or typing centres of GDRFA , where visa application is typed and processed through the GDRFA of the respective emirate. Upon approval, the sponsor will receive a message about the approval and the original entry permit."
Entry permits,"An entry permit is an initial document in an electronic form that a foreigner receives after being issued a visa, regardless of its type. This document facilitates the foreigner’s entry into the UAE and stay for the duration mentioned, and for the purpose allowed. Source: Most entry permits are valid for 60 days, after which, the foreigner must either: When an entry permit is issued for a foreigner to finalise his/her residence visa procedures, it is valid for: 
1) 2 months for normal visas and green residence visas (whose duration is 1 to 5 years) and 
2) 6 months with multiple entries for golden visas. 
 You can check the validity of your visa and fines on overstaying on the eChannels platform of the ICP or on the website of Dubai GDRFA . Related links 
1) Entry permits at the airports – GDRFA - Dubai 
2) Entry permit services – GDRFA - Dubai 
3) Visa services on smart channels – ICP 
"
What is the UAE’s Golden visa?,"The UAE’s ‘Golden visa’ is a long-term residence visa which enables foreign talents to live, work or study in the UAE while enjoying exclusive benefits which include: 
1) an entry visa for six months with multiple entries to proceed with residence issuance 
2) a long-term, renewable residence visa valid for 5 or 10 years 
3) the privilege of not needing a sponsor 
4) the ability to stay outside the UAE for more than the usual period of six months in order to keep their residence visa valid 
5) the ability to sponsor their family members, including spouses and children regardless of their ages 
6) the ability to sponsor unlimited number of domestic helpers 
7) the permit for family members to stay in the UAE until the end of their permit duration, if the primary holder of the Golden visa passes away. 
 For queries regarding visas, please contact Federal Authority for Identity, Citizenship, Customs and Port Security (ICP)  or the UAE’s embassies and consulates . For Dubai visas, contact the General Directorate of Residency and Foreigners Affairs - Dubai (GDRFAD) . Related links 
1) UAE Cabinet approves Executive Regulations of Federal Decree-Law on Entry and Residence of Foreigners  - WAM 
2) Golden Residency  - Federal Authority for Identity, Citizenship, Customs & Port Security 
3) Golden visa in Abu Dhabi  – TAMM 
4) Discover the golden visa and its categories  - Abu Dhabi Residents Office 
"
Golden visa requirements,"Requirements for the Golden visa depend on the type of residence, whether investor, talent, entrepreneur, etc. Investors in public investments If you invest in an investment fund, you may be granted a Golden Visa for a period of 10 years without a sponsor, subject to the: Real estate investors If you own a property or a group of properties, you may be granted a Golden visa for a period of 5 years, renewable on the same conditions and without a sponsor subject to the: Entrepreneurs If you are an entrepreneur, you may get a Golden visa for a period of 5 years, if you own an economic project of a technical or future nature based on risk & innovation. In addition, you must have an approval letter from each of the following: Outstanding specialised talents Outstanding specialised talents include: 
1) doctors 
2) scientists 
3) creative people of culture and art 
4) inventors 
5) executives 
6) specialists in scientific fields 
7) athletes 
8) doctoral degree holders and 
9) specialists in the fields of engineering and science. 
 Subjects relating to engineering and science include: 
1) epidemiology and viruses 
2) artificial intelligence 
3) big data 
4) computer engineering 
5) electronic engineering 
6) software engineering 
7) electrical engineering 
8) genetics and biotechnology engineering. 
 If you have an outstanding specialised talent, you may get a Golden visa for 10 years after meeting the requirements mentioned below for each category: Doctors and scientists 
1) an approval Letter from Ministry of Health and Prevention in the UAE to practice the profession of medicine (for doctors) 
2) a letter of recommendation from Emirates Council of Scientists or a letter from Secretariat of the Mohammed bin Rashid Medal for Scientific Excellence stating that the applicant has been awarded the Medal of Scientific Excellence (for scientists). 
 Inventors 
1) a recommendation letter from Ministry of Economy stating that your patent has an added value to the country's economy 
 Creative people in the fields of culture and art 
1) an approval letter from the department of culture and arts in the respective emirate. 
 Related services 
1) Apply for a creative talented accreditation (cultural visa) – Dubai Culture 
2) Get an endorsement certificate for creative people – Abu Dhabi Department of Culture and Tourism 
3) Get a recommendation letter for golden visa request – Ministry of Culture and Youth 
 Executive Directors 
1) a copy of a university degree accredited by Ministry of Education with educational attainment not less than a bachelor's degree 
2) a letter of experience of no less than 5 years holding the same position 
3) a salary certificate with a salary of AED 50,000 at least 
4) a valid work contract. 
 Athletes 
1) a recommendation letter from General Sports Authority or one of the sports councils 
 Specialists in engineering and science 
1) a copy of a Bachelor’s or a Master’s degree certified by Ministry of Education and a work contract. 
 Outstanding Students High school students If you are a high school student and a national-level topper, (with a minimum grade of 95 per cent in public or private secondary school) you may be granted a Golden visa for 5 years without a sponsor, subject to submission of a recommendation letter from Ministry of Education (Emirates Schools Establishment).Duration of the Golden visa for students is 5 years and may be extended if he/she is enrolled in one of the majors/colleges in the country that requires a study period of more than five years. University students If you are an outstanding university student, you may be granted a Golden visa for a period of 10 years without a sponsor, provided that: 
1) the university must be rated either A or B class by Ministry of Education 
2) a recommendation letter from the university or an accredited graduation certificate or an accredited academic record stating that the student’s cumulative GPA is not less than 3.5 for A class universities and 3.8 for B class universities is submitted. 
 it has not been more than 2 years since you graduated. Outstanding students of foreign universities may be granted a Golden visa for a period of 10 years without a sponsor, provided that: Pioneers of humanitarian work If you are a pioneer of humanitarian work, you may get a Golden visa for 10 years. You must be one amongst the following categories to qualify as a pioneer of humanitarian work: Frontline heroes Frontline heroes who displayed extraordinary effort in crises, such as the COVID-19 pandemic also may get the Golden visa with a recommendation from a competent authority. Frontline heroes include nurses, medical assistants, lab technicians, pharmacologists and other cadres approved by the Frontline Heroes Office."
The ‘One touch’ Golden Visa service,"‘One touch’ Golden visa service is a comprehensive service designed to simplify the application and the renewal process for a Golden residence visa , saving the applicants’ time and effort. The service will assist the applicants with their applications for the visa, issuance of other visas, regularisation of status, the issuance of residency and identity documents, and renewing all of these in one step."
Related digital services,"
1) Registration of new Emirati students and non national students in public schools 
2) Request to amend student’s data that contain errors 
 Explore more digital services provided by Emirates Schools Establishment - ESE and Ministry of Education ."
Green visa for work,"What is the UAE’s Green visa? The UAE’s Green visa is a type of residence visa, that allows its holder to sponsor himself/herself for 5 years, eliminating the need for a UAE national or employer to sponsor his/her visa. Who can apply for a Green visa? Freelancers, self-employed and skilled employees can apply for a Green visa. 1-Freelancers and/or self-employed people Freelancers and/or self-employed people who wish to apply for a Green visa need to submit: 
1) a freelance/self-employment permit from Ministry of Human Resources and Emiratisation 
2) proof of a bachelor’s degree or a specialised diploma 
3) evidence of annual income from self-employment for the previous two years amounting to not less than AED 360,000, or proof of financial solvency throughout their stay in the UAE. 
 2-Skilled employees To apply for a Green visa, skilled employees must: 
1) have a valid employment contract 
2) be classified in the first, second or third occupational level as per Ministry of Human Resources and Emiratisation 
3) hold a minimum of bachelor’s degree or equivalent 
4) have a salary of not less than AED 15,000 per month. 
 Renewing the visa The visa is renewable for the same term upon its expiry. Read related news coverage on WAM . For more information on the Green visa, contact: 
1) Federal Authority for Identity, Citizenship, Customs and Port Security (ICP) 
2) General Directorate of Residency and Foreigners Affairs – Dubai 
"
Standard work visa,"A foreigner can get a normal employment visa, usually for two years, if he/she is: 
1) Employed in the private sector  Apply for a residency visa for a person working in the private sector – GDRFAD Dubai 
2) Apply for a residency visa for a person working in the private sector – GDRFAD Dubai 
3) Employed in the government sector or a free zone  Apply for a residency visa for an individual in (free zone) – GDRFAD Dubai 
4) Apply for a residency visa for an individual in (free zone) – GDRFAD Dubai 
 The employer must apply for the standard residence visa."
Golden visa,Read about golden visa .
Domestic worker’s visa,Read about domestic workers’ recruitment .
Virtual work residence visa,"Foreigners employed outside the UAE are permitted to live here legitimately with a virtual work visa. The one-year visa allows foreigners to enter the UAE under self-sponsorship and work in line with the terms and conditions issued with the visa. To apply for a remote work visa, you must provide proof: 
1) that you work remotely for an organisation outside the UAE 
2) that you receive a monthly income of USD 3,500 (three thousand five hundred US dollars, or its equivalent in a different currency). 
 Read related news coverage on WAM."
Dubai’s virtual working programme,"Dubai permits to live in the emirate under the virtual working programme similar to the remote work visa. Under the virtual working programme , you may relocate to Dubai (from outside the UAE) and continue to work for the organisation you are already working for, remotely. Who is the virtual working programme for? The virtual working programme is for: 
1) people who live and work outside the UAE, 
2) entrepreneurs and 
3) start-up companies who meet the eligibility criteria. 
 If your application to live in Dubai is approved by the UAE’s authorities, you can also bring your family along. Duration of the virtual working programme The programme is valid for one year, renewable upon re-application. How to apply for the virtual working programme? To apply for the virtual working programme , you need to have a passport with a validity of minimum six months and a valid health insurance covering your residency in the UAE. If you work for a company, you need to: 
1) provide proof of employment with a contract valid for one year 
2) earn a minimum salary of USD 5,000 per month 
3) provide the salary slip for the last month and bank statements for the preceding three months. 
 If you are a company owner, you need to: 
1) provide proof of ownership of company for one year or more 
2) have an average monthly income of USD 5,000 per month 
3) provide bank statements of the company’s account for the preceding three months. 
 Cost The fees for the virtual working programme is USD 287 per person. In addition, you need to pay the premium for medical insurance valid in the UAE and the processing fees. Note that paying the processing fee does not guarantee approval of application. Benefits Through the virtual working programme, you can obtain all services including telecommunications, utilities, medical and schooling. You can take advantage of Dubai's robust and seamless digital infrastructure, global networking opportunities and zero income tax for individuals. Read more about the benefits of working remotely in Dubai ."
Blue visa,"The Blue visa is a 10-year residence visa designed for individuals who have made an exceptional contribution towards the environment’s protection and sustainability, both inside and outside the UAE. This visa is given to supporters of environmental action, including members of international organisations, international companies, members of associations and non-governmental organisations, global award winners, and distinguished activists and researchers in environmental work. It is given to both, Emiratis and resident advocates of the environment.  Sustainability advocates and experts interested in obtaining the UAE’s Blue visa can apply directly to Federal Authority for Identity, Citizenship, Customs and Port Security , or through nomination by competent authorities in the UAE."
Eligibility,"Retired foreigners can apply for a long-term visa of 5 years . For a retiree to be eligible for the retirement visa, he/she must: The visa is valid for 5 years with the possibility of renewing it if they meet the eligibility criteria. Learn about the retirement programme in Dubai and how to apply for a visa."
Green visa for investors,"The Green visa for investors is given to investors establishing or participating in commercial activities in the UAE. It replaces the previous residence visa that was valid for 2 years only. Requirements include : 
1) approval of the ICP on the investment as per the investors rating system applied 
2) proof of the investment (If the investor/partner has more than one licence, the total invested capital will be calculated) 
3) approval of the competent local authorities. 
 Read about the 
1) Golden residence visa for investors . 
2) Green visa for investors in the emirate of Abu Dhabi . 
 Read related news coverage on WAM ."
Student visa,"A student can stay in the UAE for studying, either under the sponsorship of his/her parent, who should be a resident of the UAE or under the sponsorship of the accredited university/college he/she is studying at. Student Affairs offices at universities will facilitate the process to assist students with their visas. A student visa is given for a duration of one year, at a time, renewable for a similar period upon proof of continuation of a study issued by the educational institute where the student is studying. Expatriate residents can sponsor their male child/children up to the age of 25. Therefore, male students over the age of 25 can stay on their parents’ sponsorship if they provide evidence of attending a higher educational institute for a minimum of one year’s course. Expatriate residents may continue to sponsor their female children for study, regardless of their age, until she is married. Key requirements To apply for a student visa, you must submit: 
1) a certificate issued by the university or institute specifying the duration of the study 
2) other general requirements stated in the general provisions for the residence visa.  Related links 
3) Student visa options – Visit Dubai 
4) Visa Process – Abu Dhabi University 
5) Apply for Visa and UAE ID Card – Sharjah University 
"
Residence visa for families of university students,"Family members of foreign students studying at the UAE’s universities may stay in the UAE, as long as they can afford suitable housing. The Government permitted such a move with the aim to achieve moral stability for the students. Read related news coverage on WAM ."
Golden visa for outstanding students,Read about golden visa for outstanding students.
Sponsorship requirements,"Expatriate residents can sponsor their families to reside in the UAE if they have a valid residence permit/visa. The sponsor must have a minimum salary of AED 4,000 or AED 3,000 plus accommodation. Male and female family members who are to be sponsored and who have completed the age of 18 need to undergo and pass medical fitness tests at approved health centres (PDF, 1 MB) in the UAE. Notes: 
1) A mother can sponsor her children in special cases approved by the ICP. 
2) A resident sponsor has 60 days to apply for his dependents’ residence visa after they enter the UAE under an entry permit. 
3) A resident can sponsor his parents, and the residence visa will be granted on a yearly basis regardless of the duration of the sponsor’s visa. 
4) The type of profession is no longer a condition for an expatriate worker to be able to sponsor his family visas. 
5) Medically unfit people will not be granted a residence visa. 
6) Residents who are detected with dormant or inactive pulmonary tuberculosis are also considered medically fit and are granted a one-year ‘Health Fitness Certificate for Residence’ subject to treatment and follow-up by the respective health authority. 
 The conditions are subject to change from time to time. Kindly check with Federal Authority for Identity and Citizenship (ICP) or GDRFA . Locate government medical fitness centres of: 
1) Disease Prevention & Screening Center - Abu Dhabi 
2) Dubai Health Authority 
3) Emirates Health Services 
 Useful links: 
1) Health conditions for a UAE residence visa - UAE Government portal 
2) Resolution No. 5 of 2016 amending provisions of the Cabinet Decree No. 7 of 2008 
3) Communicable Diseases Bulletin (PDF, 2.65 MB) - Department of Health – Abu Dhabi 
"
Sponsoring your wife and children,"An expatriate resident may sponsor the residence visa for his wife and children if he fulfils the above mentioned sponsorship requirements. To sponsor the wife, the expatriate resident must prove an existing marital relationship by submitting an attested marriage certificate in Arabic or duly translated into Arabic by a certified translator. Sponsoring two wives In strict cases, a Muslim resident may be allowed to sponsor his two wives, if he meets certain terms and conditions set by ICP. Sponsoring daughters An expatriate resident can sponsor his daughter/s only if she/they is/are unmarried, with no restrictions with regard to her/their age/s. Sponsoring sons A male or female resident can sponsor his/her son/s until he is 25. Sons of determination (those with special needs) can be sponsored with no restrictions with regard to his/ their age/s. Sponsoring newborns For babies born in the UAE, a residence visa must be applied for, within 120 days of its birth to avoid getting fines. Sponsoring stepchildren An expatriate resident can sponsor his stepchildren, subject to GDRFA’s conditions which include a deposit for each child and a written no-objection certificate from the biological parent. Their residence visas are valid for one year; renewable annually. Documents required to sponsor wife and children include : 
1) application form - either online or through a registered typing office 
2) passport copies of the wife and children 
3) photos of the wife and children 
4) medical clearance certificate of the wife and children above 18 years 
5) copy of the husband's employment contract or company contract 
6) salary certificate from the employer stating the husband’s monthly salary 
7) attested marriage certificate 
8) registered tenancy contract. 
 Cancellation The family's residence permits are linked to the residence permit of the sponsoring family member . If the sponsoring family member's visa is cancelled, it requires cancellation of the visas of the dependents. Dependents are granted a 6-month grace period from the date of expiry or cancellation of their visas to obtain a new residence permit. If the sponsor fails to renew or cancel the visa of his dependents, he could be liable to pay a fine."
Sponsoring your parents,"An expatriate employee can sponsor his parents for a year's stay by paying a deposit as a guarantee for each parent as stipulated by the respective immigration department. An expatriate employee cannot sponsor only one of his parents. He needs to sponsor both parents together. He also needs to provide proof that he is their sole support and that there is no one to take care of them back home. If one of the parents has passed away or if the parents are divorced, related official documents would be needed as justification to sponsor only one of the parents. To sponsor parents, the employed expatriate resident must earn the minimum salary stipulated and obtain a medical insurance policy for parents with the minimum coverage stipulated for each, to be renewed each year. According to the Amer website , DNRD in Dubai stipulates a minimum salary of AED 20,000 to sponsor parents’ visa ."
Residence visa for a UAE citizen spouse parent and child,"A UAE citizen’s spouse, parent or child, who holds a foreign passport, can get a UAE residence visa for 5 years without having to work in the UAE. In this case, the sponsor shall be the UAE citizen. A foreign widow or divorced woman, who is a mother of a UAE citizen, can get a residence visa without having to work in the UAE. In this case, the sponsor shall be the oldest child. Source: The Executive Regulation of the Law No. 29 of 2021 on Entry and Residence of Foreigners (PDF, 500 KB)."
Validity of a residence visa,"The validity of a residence visa varies according to its type and the sponsor. It can be for 1, 2 or 3 years on a sponsored visa, or up to 5 or 10 years on an unsponsored visa. According to recent changes, a residence visa can also be issued for 5 and 10 years, subject to certain conditions. Learn about long-term residence visas , and 5-year retirement visa in the UAE. The expiry date of the dependent’s residence visa will not exceed that of the sponsor."
Medical test,A residence visa requires applicants who are 18 and above to undergo a medical test to prove that they are medically fit. They must also pass a security check and apply for an Emirates ID card from Federal Authority for Identity and Citizenship.
Required documents,"
1) A recent coloured personal photo with a white background for the dependent 
2) A copy of the passport of the dependent 
3) Emirates ID Application receipt 
4) Housing lease contract (certified) or proof of owning a residence 
5) A copy of the sponsor’s passport with a valid residence permit 
6) Job contract of the sponsor 
7) A medical fitness certificate (for dependents above 18 years) 
8) Entry permit 
9) Attested birth certificate of the dependent (children) 
10) Mother’s residence photo (for the newborn) 
11) Medical insurance or health card 
12) Divorce or death certificate (for divorced women and widows) 
13) Proof of housing (for divorced women and widows) 
14) a proof of the woman’s ability to earn a living (for divorced women and widows) 
15) A certificate issued by the university or institute specifying the duration of the study (for students). 
"
